,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
0,4/10/2020 0:20,6.0,10,8,,10.0,
1,4/10/2020 0:30,6.0,10,7,,10.0,0.0
2,4/10/2020 0:55,8.0,5,9,,10.0,
3,4/10/2020 1:05,2.0,1,3,,10.0,
4,4/10/2020 1:15,6.0,3,3,,0.0,
5,4/10/2020 1:25,4.0,4,6,,5.0,
6,4/10/2020 1:50,8.0,6,9,,8.0,
7,4/10/2020 2:25,1.0,1,1,,2.0,
8,4/10/2020 3:05,4.0,4,7,,6.0,
9,4/10/2020 3:20,5.0,0,10,,1.0,
10,4/10/2020 3:50,1.0,7,4,,10.0,
11,4/10/2020 4:20,1.0,1,2,,4.0,0.0
12,4/10/2020 4:45,10.0,2,0,,1.0,
13,4/10/2020 5:35,4.0,0,1,,9.0,
14,4/10/2020 5:55,8.0,5,9,,1.0,
15,4/10/2020 6:10,2.0,4,10,,3.0,
16,4/10/2020 6:35,9.0,10,8,,4.0,0.0
17,4/10/2020 6:55,3.0,9,2,,10.0,
18,4/10/2020 7:10,4.0,0,2,,10.0,
19,4/10/2020 7:20,1.0,0,9,,7.0,
20,4/10/2020 8:00,7.0,3,3,,0.0,0.0
21,4/10/2020 8:10,10.0,10,10,,3.0,
22,4/10/2020 9:45,5.0,5,1,,1.0,
23,4/10/2020 10:35,9.0,10,6,,5.0,
24,4/10/2020 11:10,7.0,9,1,,10.0,
25,4/10/2020 12:25,9.0,9,8,,10.0,
26,4/10/2020 14:10,3.0,9,9,,10.0,0.0
27,4/10/2020 14:10,6.0,5,6,,4.0,
28,4/10/2020 14:20,2.0,5,0,,10.0,
29,4/10/2020 14:50,0.0,4,2,,5.0,
30,4/10/2020 15:00,10.0,5,9,,1.0,
31,4/10/2020 16:35,1.0,1,4,,7.0,
32,4/10/2020 16:40,8.0,10,8,,10.0,
33,4/10/2020 17:20,7.0,10,9,,3.0,
34,4/10/2020 18:10,0.0,10,5,,5.0,
35,4/10/2020 18:35,7.0,5,1,,7.0,1.0
36,4/10/2020 18:55,10.0,6,7,,0.0,
37,4/10/2020 18:55,4.0,3,2,,3.0,
38,4/10/2020 19:05,1.0,10,4,,0.0,
39,4/10/2020 19:35,7.0,1,0,,10.0,1.0
40,4/10/2020 19:55,5.0,3,3,,10.0,
41,4/10/2020 20:00,10.0,9,1,,10.0,
42,4/10/2020 21:15,5.0,5,1,,5.0,
43,4/10/2020 22:05,10.0,10,10,,2.0,
44,4/10/2020 22:15,10.0,6,5,,5.0,
45,4/10/2020 22:15,6.0,6,5,,0.0,
46,4/10/2020 22:25,7.0,9,3,,7.0,0.0
47,4/10/2020 22:40,2.0,9,0,,6.0,
48,4/10/2020 23:10,5.0,10,6,,4.0,
