,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
0,4/10/2020 0:35,10.0,0,0,,8.0,
1,4/10/2020 0:40,10.0,6,1,,1.0,
2,4/10/2020 0:40,6.0,2,6,,1.0,
3,4/10/2020 0:45,4.0,3,8,,10.0,
4,4/10/2020 0:50,10.0,10,4,,5.0,
5,4/10/2020 1:35,1.0,1,10,,5.0,
6,4/10/2020 2:00,1.0,2,2,,3.0,3.0
7,4/10/2020 2:20,3.0,3,9,,10.0,
8,4/10/2020 3:40,0.0,1,2,,6.0,
9,4/10/2020 3:50,0.0,9,8,,7.0,
10,4/10/2020 4:00,8.0,7,1,,7.0,
11,4/10/2020 4:15,7.0,1,0,,8.0,
12,4/10/2020 4:25,7.0,7,6,,6.0,
13,4/10/2020 4:35,2.0,9,10,,10.0,
14,4/10/2020 5:05,5.0,10,0,,1.0,
15,4/10/2020 5:05,3.0,6,5,,10.0,
16,4/10/2020 5:20,1.0,9,0,,0.0,
17,4/10/2020 5:30,2.0,4,9,,3.0,0.0
18,4/10/2020 5:55,10.0,10,3,,5.0,
19,4/10/2020 6:05,10.0,3,1,,0.0,
20,4/10/2020 7:05,7.0,4,8,,7.0,
21,4/10/2020 8:20,5.0,10,4,,10.0,
22,4/10/2020 8:25,8.0,1,10,,5.0,
23,4/10/2020 8:30,3.0,10,1,,10.0,
24,4/10/2020 8:50,9.0,4,10,,5.0,
25,4/10/2020 9:30,2.0,5,1,,4.0,1.0
26,4/10/2020 9:30,3.0,5,10,,9.0,
27,4/10/2020 9:35,10.0,2,1,,6.0,1.0
28,4/10/2020 9:45,1.0,9,6,,4.0,
29,4/10/2020 9:45,2.0,6,0,,10.0,
30,4/10/2020 9:50,6.0,7,9,,4.0,
31,4/10/2020 10:00,4.0,4,9,,9.0,
32,4/10/2020 10:45,4.0,10,8,,7.0,
33,4/10/2020 10:50,1.0,3,5,,9.0,
34,4/10/2020 10:55,3.0,3,2,7.0,4.0,
35,4/10/2020 11:00,7.0,1,8,,10.0,0.0
36,4/10/2020 11:05,4.0,1,10,,7.0,
37,4/10/2020 11:25,2.0,2,8,,4.0,
38,4/10/2020 11:30,2.0,8,5,,10.0,
39,4/10/2020 11:35,1.0,10,4,,2.0,
40,4/10/2020 12:00,9.0,2,3,,8.0,
41,4/10/2020 12:05,3.0,9,0,,3.0,1.0
42,4/10/2020 12:20,9.0,0,7,,0.0,
43,4/10/2020 12:40,10.0,10,3,,10.0,
44,4/10/2020 12:55,7.0,6,10,,3.0,0.0
45,4/10/2020 13:05,1.0,9,7,,1.0,
46,4/10/2020 13:05,1.0,0,10,,8.0,1.0
47,4/10/2020 13:20,0.0,9,7,,10.0,
48,4/10/2020 13:45,10.0,9,3,,0.0,
49,4/10/2020 13:45,10.0,5,5,,1.0,
50,4/10/2020 14:15,6.0,3,1,,4.0,
51,4/10/2020 14:15,5.0,5,0,,8.0,
52,4/10/2020 14:20,1.0,1,7,,3.0,
53,4/10/2020 14:40,3.0,3,4,,10.0,0.0
54,4/10/2020 14:50,10.0,10,7,,3.0,
55,4/10/2020 15:05,0.0,2,4,,10.0,
56,4/10/2020 15:15,8.0,2,2,,6.0,
57,4/10/2020 15:55,3.0,2,10,,6.0,
58,4/10/2020 16:10,4.0,10,2,,7.0,1.0
59,4/10/2020 16:45,1.0,1,4,,7.0,
60,4/10/2020 17:00,9.0,5,8,,1.0,
61,4/10/2020 17:45,5.0,10,2,,9.0,
62,4/10/2020 18:00,1.0,3,4,,5.0,1.0
63,4/10/2020 18:00,6.0,1,9,,5.0,
64,4/10/2020 18:25,10.0,6,4,,2.0,
65,4/10/2020 18:35,4.0,10,2,,10.0,
66,4/10/2020 18:40,7.0,10,10,,4.0,
67,4/10/2020 18:40,2.0,8,8,,5.0,
68,4/10/2020 18:40,6.0,2,8,,9.0,
69,4/10/2020 18:55,5.0,4,0,,6.0,
70,4/10/2020 19:35,4.0,8,0,,2.0,1.0
71,4/10/2020 19:40,6.0,0,3,,2.0,0.0
72,4/10/2020 19:55,8.0,10,3,,3.0,1.0
73,4/10/2020 20:05,4.0,1,9,,5.0,
74,4/10/2020 20:20,7.0,10,6,,6.0,
75,4/10/2020 21:05,3.0,6,9,,6.0,
76,4/10/2020 21:35,10.0,0,7,,8.0,
77,4/10/2020 21:35,5.0,4,3,,8.0,
78,4/10/2020 22:20,7.0,6,0,,10.0,
79,4/10/2020 22:35,10.0,10,8,,5.0,
80,4/10/2020 23:05,3.0,4,8,,2.0,
81,4/10/2020 23:15,1.0,2,8,,10.0,
82,4/10/2020 23:25,6.0,4,9,,1.0,1.0
