,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
0,4/10/2020 0:10,3.0,5,3,,2.0,4.0
1,4/10/2020 0:15,3.0,6,4,,2.0,4.0
2,4/10/2020 0:20,4.0,5,4,,4.0,4.0
3,4/10/2020 0:25,0.0,0,0,,3.0,0.0
4,4/10/2020 0:25,3.0,4,4,,4.0,3.0
5,4/10/2020 0:30,0.0,2,1,,0.0,
6,4/10/2020 1:00,4.0,6,3,,2.0,5.0
7,4/10/2020 1:05,3.0,5,3,,3.0,4.0
8,4/10/2020 1:25,8.0,2,10,,4.0,
9,4/10/2020 1:55,5.0,5,10,,4.0,
10,4/10/2020 2:30,7.0,6,4,,2.0,
11,4/10/2020 2:35,3.0,5,8,,10.0,
12,4/10/2020 3:10,2.0,4,4,,3.0,5.0
13,4/10/2020 3:25,2.0,5,7,,5.0,
14,4/10/2020 3:45,10.0,0,8,,2.0,
15,4/10/2020 3:45,5.0,5,2,,7.0,
16,4/10/2020 4:00,1.0,0,9,,4.0,
17,4/10/2020 4:35,9.0,3,0,,3.0,
18,4/10/2020 5:25,3.0,7,9,,4.0,
19,4/10/2020 5:35,1.0,1,0,,8.0,
20,4/10/2020 5:50,3.0,5,2,,1.0,
21,4/10/2020 6:05,3.0,4,5,,1.0,
22,4/10/2020 6:45,10.0,6,7,,1.0,
23,4/10/2020 7:00,2.0,0,7,,1.0,1.0
24,4/10/2020 7:15,10.0,8,7,,5.0,
25,4/10/2020 7:35,2.0,0,0,,3.0,1.0
26,4/10/2020 7:45,3.0,0,9,,0.0,
27,4/10/2020 8:10,9.0,3,7,,2.0,
28,4/10/2020 8:15,6.0,10,10,,4.0,
29,4/10/2020 8:20,5.0,7,6,,3.0,0.0
30,4/10/2020 8:50,10.0,6,10,,9.0,
31,4/10/2020 9:05,10.0,10,3,,6.0,1.0
32,4/10/2020 9:35,7.0,4,4,,1.0,
33,4/10/2020 9:40,10.0,3,0,,8.0,
34,4/10/2020 9:50,6.0,10,10,,9.0,1.0
35,4/10/2020 19:00,3.0,2,6,,8.0,0.0
36,4/10/2020 19:00,4.0,4,3,,2.0,
37,4/10/2020 19:00,6.0,2,5,,7.0,1.0
38,4/10/2020 19:00,4.0,6,1,,1.0,
39,4/10/2020 19:00,3.0,2,2,,6.0,0.0
40,4/10/2020 19:00,10.0,2,8,,1.0,
41,4/10/2020 19:00,1.0,10,3,,10.0,
42,4/10/2020 19:00,1.0,5,1,,4.0,1.0
43,4/10/2020 19:00,5.0,0,3,,6.0,0.0
44,4/10/2020 19:00,9.0,4,9,,10.0,
45,4/10/2020 19:00,2.0,7,8,,5.0,
46,4/10/2020 19:00,4.0,0,6,,2.0,
47,4/10/2020 19:00,1.0,10,5,,8.0,
48,4/10/2020 19:00,1.0,8,6,,2.0,
49,4/10/2020 19:05,7.0,10,4,,4.0,
50,4/10/2020 19:10,10.0,0,7,,3.0,
51,4/10/2020 19:15,6.0,6,6,,10.0,
52,4/10/2020 20:00,1.0,8,1,,10.0,
53,4/10/2020 20:10,8.0,0,1,,5.0,
54,4/10/2020 20:45,7.0,1,6,,10.0,
55,4/10/2020 20:45,9.0,5,2,,10.0,1.0
56,4/10/2020 20:50,5.0,10,6,,7.0,
57,4/10/2020 20:50,6.0,4,10,,9.0,1.0
58,4/10/2020 21:40,4.0,5,7,6.0,0.0,
59,4/10/2020 22:45,3.0,6,6,,0.0,
60,4/10/2020 23:05,6.0,2,9,,2.0,
61,4/10/2020 23:35,4.0,4,1,,5.0,
