,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
0,4/10/2020 0:25,6.0,4,5,,5.0,5.0
1,4/10/2020 0:30,3.0,8,6,6.0,9.0,
2,4/10/2020 0:30,6.0,5,9,,7.0,0.0
3,4/10/2020 0:45,2.0,0,7,,10.0,
4,4/10/2020 0:55,4.0,0,2,,5.0,
5,4/10/2020 1:45,6.0,9,10,,5.0,
6,4/10/2020 3:05,6.0,9,4,,10.0,
7,4/10/2020 3:35,8.0,0,5,,4.0,
8,4/10/2020 3:50,5.0,10,10,,6.0,0.0
9,4/10/2020 4:15,8.0,5,10,,4.0,
10,4/10/2020 4:35,6.0,4,10,,5.0,
11,4/10/2020 4:35,10.0,6,6,,10.0,
12,4/10/2020 4:45,2.0,9,8,,7.0,
13,4/10/2020 15:00,10.0,9,1,,7.0,0.0
14,4/10/2020 15:00,8.0,4,7,,10.0,
15,4/10/2020 15:00,8.0,0,8,,0.0,
16,4/10/2020 15:00,6.0,6,1,,3.0,
17,4/10/2020 15:00,3.0,8,5,,7.0,1.0
18,4/10/2020 15:00,4.0,3,2,,5.0,0.0
19,4/10/2020 15:00,0.0,4,5,,10.0,
20,4/10/2020 15:00,10.0,4,7,,6.0,
21,4/10/2020 15:00,3.0,10,3,,3.0,
22,4/10/2020 15:00,10.0,10,3,,9.0,1.0
23,4/10/2020 15:00,10.0,8,4,,9.0,
24,4/10/2020 15:15,5.0,3,10,,8.0,
25,4/10/2020 15:45,7.0,6,2,,5.0,
26,4/10/2020 15:55,2.0,1,8,,2.0,
27,4/10/2020 16:05,2.0,10,10,,3.0,
28,4/10/2020 16:35,9.0,8,8,,0.0,
29,4/10/2020 18:15,1.0,0,10,,10.0,1.0
30,4/10/2020 20:35,1.0,7,1,,7.0,
31,4/10/2020 20:35,5.0,1,6,,4.0,
32,4/10/2020 21:55,10.0,7,7,,3.0,
33,4/10/2020 22:30,10.0,0,2,,1.0,
34,4/10/2020 23:05,10.0,1,2,,6.0,
35,4/10/2020 23:25,1.0,0,3,,9.0,0.0
