,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
0,4/10/2020 0:05,4.0,3,6,,4.0,2.0
1,4/10/2020 0:15,7.0,6,5,,10.0,
2,4/10/2020 0:20,10.0,0,3,,6.0,1.0
3,4/10/2020 0:50,7.0,10,10,,6.0,
4,4/10/2020 1:05,10.0,7,6,,4.0,
5,4/10/2020 1:45,10.0,8,5,,0.0,
6,4/10/2020 1:50,3.0,9,2,,10.0,
7,4/10/2020 2:10,0.0,2,2,,10.0,
8,4/10/2020 2:25,5.0,0,1,,1.0,
9,4/10/2020 2:50,4.0,3,7,,4.0,
10,4/10/2020 4:20,1.0,10,1,,5.0,
11,4/10/2020 4:30,4.0,8,6,,0.0,
12,4/10/2020 5:10,8.0,4,1,,7.0,1.0
13,4/10/2020 5:50,9.0,4,9,,9.0,
14,4/10/2020 5:55,10.0,5,0,,3.0,
15,4/10/2020 6:00,4.0,9,5,,6.0,
16,4/10/2020 7:20,6.0,2,10,,4.0,
17,4/10/2020 7:35,1.0,2,7,,5.0,
18,4/10/2020 7:55,1.0,9,2,,6.0,1.0
19,4/10/2020 8:00,9.0,7,10,,10.0,
20,4/10/2020 8:00,8.0,5,4,,7.0,
21,4/10/2020 8:35,10.0,10,8,,10.0,
22,4/10/2020 9:20,3.0,10,8,,10.0,
23,4/10/2020 19:00,7.0,7,4,,1.0,
24,4/10/2020 19:00,2.0,8,2,,7.0,
25,4/10/2020 19:00,7.0,9,3,,2.0,
26,4/10/2020 19:00,4.0,3,1,,10.0,
27,4/10/2020 19:00,7.0,10,2,,4.0,0.0
28,4/10/2020 19:00,0.0,7,6,,8.0,
29,4/10/2020 19:00,6.0,8,2,,9.0,
30,4/10/2020 19:00,9.0,1,10,,9.0,
31,4/10/2020 19:00,6.0,7,8,,8.0,
32,4/10/2020 19:00,7.0,9,10,,1.0,
33,4/10/2020 19:00,0.0,3,0,,10.0,
34,4/10/2020 19:20,7.0,4,9,,4.0,
35,4/10/2020 19:40,2.0,3,1,,10.0,
36,4/10/2020 21:10,1.0,1,9,,6.0,1.0
37,4/10/2020 21:25,5.0,8,0,,5.0,
38,4/10/2020 22:40,7.0,5,6,,2.0,
39,4/10/2020 23:35,8.0,3,4,,0.0,
40,4/10/2020 23:35,10.0,6,5,,9.0,
41,4/10/2020 23:50,0.0,8,5,,9.0,
