,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
0,4/10/2020 0:05,8.0,6,1,,0.0,
1,4/10/2020 0:10,5.0,8,6,,4.0,
2,4/10/2020 0:15,8.0,5,4,,7.0,1.0
3,4/10/2020 0:20,8.0,7,6,,1.0,
4,4/10/2020 0:20,6.0,0,10,2.0,0.0,
5,4/10/2020 0:30,1.0,5,10,,8.0,
6,4/10/2020 0:45,0.0,4,0,,0.0,
7,4/10/2020 0:50,3.0,1,3,,3.0,
8,4/10/2020 0:55,0.0,8,7,,9.0,
9,4/10/2020 1:00,10.0,3,4,,4.0,
10,4/10/2020 1:05,1.0,1,4,,2.0,
11,4/10/2020 1:10,2.0,2,10,,3.0,
12,4/10/2020 1:15,8.0,7,8,,10.0,
13,4/10/2020 1:20,2.0,9,5,,5.0,
14,4/10/2020 1:25,1.0,3,5,,8.0,
15,4/10/2020 1:45,1.0,1,9,,10.0,1.0
16,4/10/2020 1:45,8.0,3,4,,10.0,
17,4/10/2020 1:55,8.0,10,3,,10.0,
18,4/10/2020 2:00,6.0,1,6,,5.0,
19,4/10/2020 2:05,10.0,5,10,,0.0,
20,4/10/2020 2:05,1.0,3,9,,2.0,
21,4/10/2020 2:10,5.0,4,2,,6.0,1.0
22,4/10/2020 2:15,2.0,2,5,,10.0,
23,4/10/2020 2:20,0.0,6,10,,10.0,0.0
24,4/10/2020 2:40,7.0,1,10,,8.0,
25,4/10/2020 2:45,7.0,4,9,,9.0,
26,4/10/2020 2:45,2.0,10,10,,2.0,
27,4/10/2020 2:45,10.0,1,7,,8.0,0.0
28,4/10/2020 3:00,10.0,0,10,,9.0,0.0
29,4/10/2020 3:05,10.0,3,4,,7.0,
30,4/10/2020 3:05,4.0,9,4,,4.0,
31,4/10/2020 3:10,7.0,4,4,,2.0,1.0
32,4/10/2020 3:10,6.0,5,7,,7.0,
33,4/10/2020 3:15,10.0,7,1,0.0,9.0,
34,4/10/2020 3:20,6.0,7,10,,7.0,
35,4/10/2020 3:30,5.0,10,8,,9.0,
36,4/10/2020 3:35,2.0,7,6,,5.0,1.0
37,4/10/2020 3:45,3.0,10,9,,5.0,
38,4/10/2020 3:50,5.0,3,10,,8.0,
39,4/10/2020 4:15,0.0,5,5,,1.0,
40,4/10/2020 4:25,7.0,6,10,,10.0,
41,4/10/2020 4:25,1.0,10,8,,10.0,
42,4/10/2020 4:25,2.0,1,4,,6.0,0.0
43,4/10/2020 4:30,1.0,5,10,,3.0,
44,4/10/2020 4:35,10.0,4,3,,8.0,
45,4/10/2020 4:35,8.0,10,6,,6.0,
46,4/10/2020 4:40,4.0,4,7,,4.0,
47,4/10/2020 4:50,10.0,10,10,,10.0,
48,4/10/2020 4:55,10.0,8,7,,7.0,0.0
49,4/10/2020 5:00,7.0,7,0,,1.0,
50,4/10/2020 5:05,7.0,3,1,,3.0,
